Algorithm,Variant,Operation,Data Size (Bytes),Mean Time (s),Std Time (s),Throughput (MB/s),Memory (MB),Security Level,Ciphertext Length
RSA-2048,RSA-2048,Key Gen,0,0.017235472,0,0,0,112-bit,-
ECC-384,ECC-384,Key Gen,0,0.000122895,0,0,0,192-bit,-
Kyber,Kyber,Key Gen,0,0.002548808,0,0,0,Post-Quantum,-
SHA,SHA-256,Hash,1024,2.61E-06,2.67E-06,373.648218,9.25E-05,256-bit,-
SHA,SHA-512,Hash,1024,5.46E-06,5.40E-06,178.7660961,0.000123024,512-bit,-
BLAKE2b,BLAKE2b-512,Hash,1024,2.23E-06,6.46E-07,437.9993839,0.000512123,512-bit,-
AES (AEAD),AES-128 GCM,Encrypt,1024,5.79E-06,4.09E-06,168.51819,0.002123833,128-bit,1024
AES (AEAD),AES-128 GCM,Decrypt,1024,3.62E-06,2.08E-06,269.9024297,0.002077103,128-bit,1024
AES (AEAD),AES-256 GCM,Encrypt,1024,3.32E-06,8.52E-07,294.2158233,0.002123833,256-bit,1024
AES (AEAD),AES-256 GCM,Decrypt,1024,2.62E-06,4.41E-07,372.6183559,0.002077103,256-bit,1024
ChaCha20 (AEAD),ChaCha20-Poly1305,Encrypt,1024,4.25E-06,1.83E-06,229.9852363,0.002123833,256-bit,1024
ChaCha20 (AEAD),ChaCha20-Poly1305,Decrypt,1024,3.39E-06,9.89E-07,288.1222748,0.002077103,256-bit,1024
RSA (Hybrid),RSA-2048,Encrypt,1024,3.98E-05,1.73E-05,24.5217086,0.002566719,112-bit,1024
RSA (Hybrid),RSA-2048,Decrypt,1024,0.0005964,9.04E-05,1.637429295,0.002270699,112-bit,1024
ECC (Hybrid),ECC-384,Encrypt,1024,0.000835148,0.001183887,1.169328669,0.052788544,192-bit,1024
ECC (Hybrid),ECC-384,Decrypt,1024,0.000216927,2.71E-05,4.501802429,0.002408028,192-bit,1024
RSA (Signature),RSA-2048,Sign,1024,0.000573718,6.18E-05,1.702165255,0.000999069,112-bit,256
RSA (Signature),RSA-2048,Verify,1024,2.95E-05,6.24E-06,33.06257984,0.000699043,112-bit,256
ECC (Signature),ECC-384,Sign,1024,0.000141518,3.10E-05,6.900633676,0.00099144,192-bit,103
ECC (Signature),ECC-384,Verify,1024,0.000272993,1.81E-05,3.577241167,0.000616646,192-bit,103
Kyber-PQCT,Kyber-PQCT,Encrypt,1024,0.000663371,0.000107998,1.472120742,0.527581787,Post-Quantum,2
Kyber-PQCT,Kyber-PQCT,Decrypt,1024,9.27E-06,4.66E-06,105.3171117,0.008094788,Post-Quantum,2
SHA,SHA-256,Hash,10240,7.54E-06,8.36E-06,1295.0379,9.25E-05,256-bit,-
SHA,SHA-512,Hash,10240,1.40E-05,1.60E-06,699.2024519,0.000123024,512-bit,-
BLAKE2b,BLAKE2b-512,Hash,10240,1.19E-05,2.48E-06,821.898057,0.000512123,512-bit,-
AES (AEAD),AES-128 GCM,Encrypt,10240,9.01E-06,6.21E-06,1084.057892,0.019701958,128-bit,10240
AES (AEAD),AES-128 GCM,Decrypt,10240,5.86E-06,1.22E-06,1667.171737,0.019655228,128-bit,10240
AES (AEAD),AES-256 GCM,Encrypt,10240,6.32E-06,1.03E-06,1544.021675,0.019701958,256-bit,10240
AES (AEAD),AES-256 GCM,Decrypt,10240,5.68E-06,4.75E-07,1717.968447,0.019655228,256-bit,10240
ChaCha20 (AEAD),ChaCha20-Poly1305,Encrypt,10240,1.19E-05,4.15E-06,819.9931672,0.019701958,256-bit,10240
ChaCha20 (AEAD),ChaCha20-Poly1305,Decrypt,10240,9.83E-06,6.91E-07,993.4306638,0.019655228,256-bit,10240
RSA (Hybrid),RSA-2048,Encrypt,10240,3.93E-05,1.32E-05,248.2946299,0.019763947,112-bit,10240
RSA (Hybrid),RSA-2048,Decrypt,10240,0.000595256,4.59E-05,16.40575092,0.019848824,112-bit,10240
ECC (Hybrid),ECC-384,Encrypt,10240,0.000206791,1.19E-05,47.22470536,0.020032883,192-bit,10240
ECC (Hybrid),ECC-384,Decrypt,10240,0.000227974,4.49E-05,42.83649797,0.019986153,192-bit,10240
RSA (Signature),RSA-2048,Sign,10240,0.000581564,4.98E-05,16.79199833,0.000794601,112-bit,256
RSA (Signature),RSA-2048,Verify,10240,3.29E-05,7.68E-06,297.0658025,0.000538826,112-bit,256
ECC (Signature),ECC-384,Sign,10240,0.000146448,2.21E-05,66.68304475,0.000662613,192-bit,104
ECC (Signature),ECC-384,Verify,10240,0.000308137,3.93E-05,31.69245645,0.000447273,192-bit,104
Kyber-PQCT,Kyber-PQCT,Encrypt,10240,0.000598326,6.16E-05,16.32158968,0.676837158,Post-Quantum,2
Kyber-PQCT,Kyber-PQCT,Decrypt,10240,2.03E-05,2.92E-06,481.8103914,0.078407288,Post-Quantum,2
SHA,SHA-256,Hash,102400,3.39E-05,9.85E-06,2878.218955,9.25E-05,256-bit,-
SHA,SHA-512,Hash,102400,0.000144979,4.76E-05,673.5889212,0.000123024,512-bit,-
BLAKE2b,BLAKE2b-512,Hash,102400,0.000105685,3.97E-06,924.033037,0.000512123,512-bit,-
AES (AEAD),AES-128 GCM,Encrypt,102400,4.04E-05,1.34E-05,2418.251692,0.195483208,128-bit,102400
AES (AEAD),AES-128 GCM,Decrypt,102400,3.22E-05,7.45E-07,3035.612302,0.195436478,128-bit,102400
AES (AEAD),AES-256 GCM,Encrypt,102400,5.03E-05,2.75E-05,1941.746503,0.195483208,256-bit,102400
AES (AEAD),AES-256 GCM,Decrypt,102400,4.68E-05,2.00E-05,2084.854745,0.195436478,256-bit,102400
ChaCha20 (AEAD),ChaCha20-Poly1305,Encrypt,102400,7.78E-05,6.06E-06,1255.276591,0.195483208,256-bit,102400
ChaCha20 (AEAD),ChaCha20-Poly1305,Decrypt,102400,8.46E-05,1.93E-05,1154.394749,0.195436478,256-bit,102400
RSA (Hybrid),RSA-2048,Encrypt,102400,7.20E-05,1.96E-05,1356.905787,0.195545197,112-bit,102400
RSA (Hybrid),RSA-2048,Decrypt,102400,0.000649011,0.000108986,150.4692833,0.195630074,112-bit,102400
ECC (Hybrid),ECC-384,Encrypt,102400,0.000319764,5.34E-05,305.4012029,0.195814133,192-bit,102400
ECC (Hybrid),ECC-384,Decrypt,102400,0.000247331,2.95E-05,394.8406242,0.195767403,192-bit,102400
RSA (Signature),RSA-2048,Sign,102400,0.000612842,8.21E-05,159.3496967,0.000707626,112-bit,256
RSA (Signature),RSA-2048,Verify,102400,6.07E-05,5.97E-06,1609.953505,0.000470161,112-bit,256
ECC (Signature),ECC-384,Sign,102400,0.000265904,2.45E-05,367.261581,0.000488472,192-bit,103
ECC (Signature),ECC-384,Verify,102400,0.000483689,9.70E-05,201.8989254,0.000288582,192-bit,103
Kyber-PQCT,Kyber-PQCT,Encrypt,102400,0.001347129,0.000306519,72.4921192,1.780342102,Post-Quantum,2
Kyber-PQCT,Kyber-PQCT,Decrypt,102400,0.00016013,1.85E-05,609.8545586,0.781532288,Post-Quantum,2
SHA,SHA-256,Hash,1048576,0.000312984,8.68E-05,3195.04947,9.25E-05,256-bit,-
SHA,SHA-512,Hash,1048576,0.001258298,5.33E-05,794.7241748,0.000123024,512-bit,-
BLAKE2b,BLAKE2b-512,Hash,1048576,0.00114359,0.000116568,874.4391189,0.000512123,512-bit,-
AES (AEAD),AES-128 GCM,Encrypt,1048576,0.000839713,0.000417902,1190.882794,2.000170708,128-bit,1048576
AES (AEAD),AES-128 GCM,Decrypt,1048576,0.000419892,0.000174406,2381.567006,2.000123978,128-bit,1048576
AES (AEAD),AES-256 GCM,Encrypt,1048576,0.00053088,0.000210896,1883.664146,2.000170708,256-bit,1048576
AES (AEAD),AES-256 GCM,Decrypt,1048576,0.000499582,0.000175791,2001.674986,2.000123978,256-bit,1048576
ChaCha20 (AEAD),ChaCha20-Poly1305,Encrypt,1048576,0.000824604,6.75E-05,1212.703023,2.000170708,256-bit,1048576
ChaCha20 (AEAD),ChaCha20-Poly1305,Decrypt,1048576,0.000928712,0.000196322,1076.759834,2.000123978,256-bit,1048576
RSA (Hybrid),RSA-2048,Encrypt,1048576,0.000632204,0.000243889,1581.767403,2.000232697,112-bit,1048576
RSA (Hybrid),RSA-2048,Decrypt,1048576,0.001145963,0.000244048,872.6288256,2.000317574,112-bit,1048576
ECC (Hybrid),ECC-384,Encrypt,1048576,0.000689822,9.20E-05,1449.648513,2.000501633,192-bit,1048576
ECC (Hybrid),ECC-384,Decrypt,1048576,0.000689863,0.000160605,1449.56277,2.000454903,192-bit,1048576
RSA (Signature),RSA-2048,Sign,1048576,0.000853274,6.52E-05,1171.956216,0.000684738,112-bit,256
RSA (Signature),RSA-2048,Verify,1048576,0.000286891,7.92E-06,3485.639529,0.000470161,112-bit,256
ECC (Signature),ECC-384,Sign,1048576,0.001663696,0.0004707,601.0714199,0.000409508,192-bit,103
ECC (Signature),ECC-384,Verify,1048576,0.001613811,7.06E-05,619.6511712,0.000279427,192-bit,103
Kyber-PQCT,Kyber-PQCT,Encrypt,1048576,0.009187819,0.001337628,108.8397631,13.51081085,Post-Quantum,2
Kyber-PQCT,Kyber-PQCT,Decrypt,1048576,0.002369747,0.00039599,421.9860105,8.000282288,Post-Quantum,2
